objectid,filename,title,creator,date,description,subject,location,source,type,format,frame rate,length,dimensions,bit depth,rights,rightsstatement
KMdance001,20_20 Vision_Moment1.jpg,20_20 VisionMoment1,Katie Monsell,2021-5-16,Stillframe from 20_20 Vision archive footage. ,stillframe; film; dance,"Lewistown, Pennsylvania",KMdancefilms,image;stillimage,image/jpg,,,1920x1080,24,KMdancefilms.com,
KMdance002,20_20 Vision_Moment2.jpg,20_20 VisionMoment2,Katie Monsell,2021-5-16,Stillframe from 20_20 Vision archive footage. ,stillframe; film; dance,"Lewistown, Pennsylvania",KMdancefilms,image;stillimage,image/jpg,,,1920x1080,24,Kmdancefilms.com,
KMdance003,20_20 Vision_Moment3.jpg,20_20VisionMoment3,Katie Monsell,2021-5-16,Stillframe from 20_20 Vision archive footage. ,stillframe; film; dance,"Lewistown, Pennsylvania",KMdancefilms,image;stillimage,image/jpg,,,1920x1080,24,KMdancefilms.com,
Kmdance004,o-come-o-come-emmanuel.mp3,O Come O Come Emmauel,Jon Gegelman,2020-12-5,"Paino rendition of O Come O Come Emmanuel. Used as soundtrack for the multimedia project ""20_20 Vision""",music; instrumental,"Lewistown, Pennsylvania",KMdancefilms,sound,audio/mp3,,0:04:29,,,KMdancefilm.com,License Number 936702
KMdance005,Cairo_Photo1.jpg,Pyramid Sands,Yasmina of Cairo,2021-11-13,Photo of Katie Monsell in Sa'idi outfit. Taken in ,Egyptian dance; photography,"Cairo, Egypt",YasminaofCairo,image;stillimage,image/jpg,,,446x664,24,KMdancefilms.com/YasminaofCairo.com,
KMdance006,Cairo_Photo2.jpg,Orchard Scene,Yasmina of Cairo,2021-11-13,Photo of Katie Monsell in Sa'idi outfit. Taken in ,Egyptian dance; photography,"Cairo, Egypt",YasminaofCairo,image;stillimage,image/jpg,,,446x664,24,KMdancefilms.com/YasminaofCairo.com,
KMdance007,Cairo_Photo3.jpg,In the Orchard with Ptar,Yasmina of Cairo,2021-11-13,Photo of Katie Monsell in Sa'idi outfit with Arabian horse (Ptar). Taken in ,Egyptian dance; photography,"Cairo, Egypt",YasminaofCairo,image;stillimage,image/jpg,,,460x650,24,KMdancefilms.com/YasminaofCairo.com,
KMdance008,Cairo_Photo4.jpg,In the Doorway,Yasmina of Cairo,2021-11-13,"Photo of Katie Monsell in Sa'idi outfit. Taken at Yasmina's Bed and Breakfast in Cairo, Egypt",Egyptian dance; photography,"Cairo, Egypt",YasminaofCairo,image;stillimage,image/jpg,,,420x368,24,KMdancefilms.com/YasminaofCairo.com,
KMdance009,Cairo_Photo5.jpg,Caberet,Yasmina of Cairo,2021-11-13,"Photo of Katie Monsell in Egyptian Cabaret cosume. Taken at Yasmina';s Bed and Breakfast in Cairo, Egypt",Egyptian dance; photography,Cairo. Egypt,YasminaofCairo,image;stillimage,image/jpg,,,420x638,24,KMdancefilms.com/YasminaofCairo.com,
KMdance010,Circle Song.mp3,Circle Song,Elexa Dawson,2019-10-5,"Folk music track created by Elexa Dawson (Citizen Potawatomi Nation). Used as soundtrack for ""Rivers Run to the Sea"" dance film.",music; folk; indie; solo,"Stull, Kansas",Music is Medicine Album,sound,audio/mp3,,0:02:08,,,Lost Cowgirls Records,
KMdance011,ClairduLuneDebussy.mp3,Clair du Lune,Claude DeBussy,2019-1-6,"Paino rendition of Claude Debussy's ""Clair du Lune."" Cover by Ohad Ben Ari ",music; classical; instrumental,,Pianissimo Album,sound,audio/mp3,,0:05:33,,,KMdancefilms.com,License Number 431375
KMdance012,dancing-on-fire.mp3,Dancing on Fire,Michael Vignola,2021-5-18,"Paino composition. Used as soundtrack for the short dance film ""Jojo's Landing""",music; indie; instumental,,Infinity Album,sound,audio/mp3,,0:01:25,,,KMdancefilms.com,License Number 431375
KMdance013,Jojo'sLanding_2021_Moment1.jpg,Scene 1,Katie Monsell,2021-8-21,"Stillframe from Dance film ""Jojo's Landing.""",stillframe; film; dance,"Bald Eagle Creek, Pennsylvania",KMdancefilms,image;stillimage,image/jpg,,,1651x1080,24,KMdancefilms.com,
KMdance014,Jojo'sLanding_2021_Moment2.jpg,Scene 6,Katie Monsell,2021-8-21,"Stillframe from Dance film ""Jojo's Landing.""",stillframe; film; dance,"Bald Eagle Creek, Pennsylvania",KMdancefilms,image;stillimage,image/jpg,,,1485x1080,24,KMdancefilms.com,
KMdance015,Jojo'sLanding_2021_Moment3.jpg,Scene 8,Katie Monsell,2021-8-21,"Stillframe from Dance film ""Jojo's Landing.""",stillframe; film; dance,"Bald Eagle Creek, Pennsylvania",KMdancefilms,image;stillimage,image/jpg,,,1597x1080,24,KMdancefilms.com,
KMdance016,OCean_Moment1.jpg,Part 1 Scene 5,Katie Monsell,2020-6-28,"Stillframe from the dance film ""OCean""",stillframe; film; dance,"Ocean City, Maryland",KMdancefilms,image;stillimage,image/jpg,,,1920x1080,24,KMdancefilms.com,
KMdance017,OCean_Moment2.jpg,Part 2 Sene 6,Katie Monsell,2021-1-2,"Stillframe from the dance film ""OCean""",stillframe; film; dance,"Ocean City, Maryland",KMdancefilms,image;stillimage,image/jpg,,,1920x1080,24,KMdancefilms.com,
KMdance018,OCean_Moment3.jpg,Part 1 Scene 3,Katie Monsell,2021-1-2,"Stillframe from the dance film ""OCean""",stillframe; film; dance,"Ocean City, Maryland",KMdancefilms,image;stillimage,image/jpg,,,1920x1080,24,KMdancefilms.com,
KMdance019,OCean_Moment4.jpg,Part 1 Scene 20,Katie Monsell,2020-6-28,"Stillframe from the dance film ""OCean""",stillframe; film; dance,"Ocean City, Maryland",KMdancefilms,image;stillimage,image/jpg,,,1920x1080,24,KMdancefilms.com,
KMdance020,OCean_Moment5.jpg,Part 2 Scene 10,Katie Monsell,2020-6-28,"Stillframe from the dance film ""OCean""",stillframe; film; dance,"Ocean City, Maryland",KMdancefilms,image;stillimage,image/jpg,,,1920x1080,24,KMdancefilms.com,
KMdance021,OCean_Moment6.jpg,Part 2 Scene 20,Katie Monsell,2020-6-28,"Stillframe from the dance film ""OCean""",stillframe; film; dance,"Ocean City, Maryland",KMdancefilms,image;stillimage,image/jpg,,,1920x1080,24,KMdancefilms.com,
KMdance022,Maura Garcia straight jump pose - Photo credit to Jenny Wheat.tif,Maura Garcia Straight Jump Pose,Jenny Wheat,2020-11-13,"Photo of Maura Garcia. Logo of the ""Mixed Blood Women"" production.",dance; photography,"Kansas City, Missouri",KMdancefilms,image;stillimage,image/tif,,,644x966,32,Maura Garcia Dance LLC.,
KMdance023,RiversRuntotheSea_Moment1.jpg,Heart Share,Katie Monsell,2020-12-28,"Stillframe from the dance film ""Rivers Run to the Sea""",stillframe; film; dance,"Kaw,Haliwa Saponi and Occaneechi Saponi Homelands",KMdancefilms,image;stillimage,image/jpg,,,1920x1080,24,KMdancefilms.com/ Maura Garcia Dance LLC,
KMdance024,RiversRuntotheSea_Moment2.jpg,Suri in the River,Katie Monsell,2020-12-28,"Stillframe from the dance film ""Rivers Run to the Sea""",stillframe; film; dance,"Kaw,Haliwa Saponi and Occaneechi Saponi Homelands",KMdancefilms,image;stillimage,image/jpg,,,1920x1080,24,KMdancefilm.com / Maura Garcia Dance LLC,
KMdance025,RiversRuntotheSea_FinalDraft_Moment3.jpg,Maura in the River,Katie Monsell,2020-12-28,"Stillframe from the dance film ""Rivers Run to the Sea""",stillframe; film; dance,"Kaw,Haliwa Saponi and Occaneechi Saponi Homelands",KMdancefilms,image;stillimage,image/jpg,,,1920x1080,24,KMdancefilms.com / Maura Garcia Dance LLC,
KMdance026,RiversRuntotheSea_FinalDraft_Moment4.jpg,Spirit of the River,Katie Monsell,2020-12-28,"Stillframe from the dance film ""Rivers Run to the Sea""",stillframe; film; dance,"Kaw,Haliwa Saponi and Occaneechi Saponi Homelands",KMdancefilms,image;stillimage,image/jpg,,,1920x1080,24,KMdancefilms.com/ Maura Garcia Dance LLC,
